dataset,variant,mode,n_queries,n_queries_no_relevant,rho,rho_lo,rho_hi,p_at_5,p_at_5_lo,p_at_5_hi,p_at_10,p_at_10_lo,p_at_10_hi,ndcg_at_10,ndcg_at_10_lo,ndcg_at_10_hi
pilot_holdout,plain,signed,113,1,0.2928797235577313,0.2639622068150814,0.32234753075013367,0.5752212389380531,0.5203539823008849,0.6300884955752213,0.47610619469026544,0.42829646017699113,0.5221238938053098,0.7355234428614429,0.7094211941343506,0.7608686186610326
pilot_holdout,plain,abs,113,1,0.33318367851395747,0.30348722198509054,0.361242477336582,0.576991150442478,0.5203539823008849,0.6300884955752213,0.47610619469026544,0.42920353982300885,0.5265486725663717,0.7384029626030456,0.7120347363888467,0.7644076004252075
pilot_holdout,plain,abs_cross_instrument,113,3,0.34470204117850195,0.3141411762743832,0.3741067410831213,0.5663716814159292,0.5079646017699115,0.6212389380530974,0.4646017699115044,0.4150442477876106,0.5123893805309735,0.7450447444646858,0.717827526529036,0.7711926064313228
pilot_holdout,documented,signed,113,1,0.2712059412108423,0.2208962201849071,0.3185994960486019,0.7327433628318584,0.6672566371681417,0.7946902654867256,0.6150442477876106,0.5592920353982301,0.6681637168141593,0.844184690909078,0.8166585491019208,0.8697198240716466
pilot_holdout,documented,abs,113,1,0.6042239203034079,0.573380726923829,0.6355319334447593,0.7592920353982301,0.7008849557522124,0.8194690265486726,0.6628318584070797,0.6115044247787611,0.715929203539823,0.8752146966192909,0.8525404027266649,0.8952501822873833
pilot_holdout,documented,abs_cross_instrument,113,3,0.6100868570364117,0.5784581326740854,0.639224814605143,0.7292035398230089,0.6672566371681415,0.7876106194690266,0.620353982300885,0.5646017699115045,0.6761061946902656,0.8700336143224356,0.8475249568497084,0.8909886657538372
pilot_holdout,aligned,signed,113,1,0.2708338409351324,0.2213997461001897,0.3178354180674602,0.7292035398230089,0.6637168141592921,0.7929203539823009,0.6070796460176991,0.5513053097345133,0.6619469026548672,0.8416186801434589,0.815114374774709,0.8657919905621735
pilot_holdout,aligned,abs,113,1,0.6001642365792377,0.5694766314434618,0.6298713715724584,0.7610619469026548,0.7008849557522124,0.8194690265486725,0.6575221238938054,0.6061946902654868,0.7097345132743363,0.8737419548237936,0.8517492688359746,0.8933046635913989
pilot_holdout,aligned,abs_cross_instrument,113,3,0.6054238105289113,0.5724688910778694,0.6372434603930447,0.7292035398230089,0.6707964601769911,0.7893805309734514,0.6150442477876106,0.5610619469026549,0.6699115044247788,0.86776660305339,0.8456918854303236,0.888551864382393
pilot_holdout,aligned_loo,signed,113,1,0.2583688033199081,0.20945469838389072,0.3036966432769946,0.727433628318584,0.6619469026548673,0.7876548672566369,0.6026548672566371,0.547787610619469,0.6557522123893805,0.8352373784258719,0.8073383409696699,0.8612157740028888
pilot_holdout,aligned_loo,abs,113,1,0.573258951899447,0.5417582960539867,0.6031102642278254,0.7610619469026548,0.7026548672566371,0.8159734513274334,0.6557522123893806,0.6008628318584072,0.7061946902654865,0.8641506684338358,0.8405049556931784,0.8873389631851045
pilot_holdout,aligned_loo,abs_cross_instrument,113,3,0.5769048227827016,0.5444873860814795,0.607640278819709,0.7327433628318585,0.672566371681416,0.7946902654867256,0.613274336283186,0.5592699115044248,0.6681637168141592,0.8604728566539879,0.8352750349178989,0.8843348305633526
pilot_holdout,hyperplane_old,signed,113,1,0.2804361201354893,0.24457298640450695,0.31588997922629297,0.6938053097345134,0.6353982300884955,0.7522123893805309,0.5787610619469027,0.5229867256637167,0.6345132743362832,0.8062104122803764,0.7791403865816234,0.832000686161961
pilot_holdout,hyperplane_old,abs,113,1,0.4816946827212276,0.4476088920941877,0.512156811673458,0.6991150442477876,0.6407079646017699,0.7575221238938052,0.5902654867256637,0.5353761061946903,0.6469026548672566,0.8173897426713487,0.7922373505436235,0.8402016909507325
pilot_holdout,hyperplane_old,abs_cross_instrument,113,3,0.47701140609851445,0.44188194385218077,0.511610301245172,0.6619469026548673,0.6035398230088496,0.7221238938053097,0.5654867256637168,0.5088495575221239,0.622146017699115,0.8143307877103381,0.7895207736005333,0.838438727333918
pilot_holdout,positive_only,signed,113,1,0.279946168402807,0.2408034061773998,0.3183350220700246,0.7061946902654869,0.6460176991150443,0.7663716814159292,0.5831858407079646,0.5247566371681416,0.6380530973451327,0.8179023759148628,0.7891287005873333,0.8440976062094069
pilot_holdout,positive_only,abs,113,1,0.491520694371584,0.4554892093969347,0.526160103354259,0.7115044247787611,0.6530973451327434,0.7699115044247787,0.5946902654867257,0.5415929203539823,0.6513274336283186,0.8295068379206004,0.8052167781763191,0.8522242240698107
pilot_holdout,positive_only,abs_cross_instrument,113,3,0.4896368952471058,0.4539184654611218,0.5225492444658557,0.6690265486725663,0.6070796460176991,0.7292035398230088,0.563716814159292,0.5097345132743363,0.6176991150442478,0.8230422468181761,0.7977758687065996,0.8471556106491029
pilot_holdout,F_composite,signed,113,1,0.2712059412108423,0.22105263946701725,0.31844708691097423,0.7327433628318584,0.6707964601769911,0.7929646017699113,0.6150442477876106,0.5566371681415929,0.6690265486725663,0.844184690909078,0.8171946224930146,0.8686329733962398
pilot_holdout,F_composite,abs,113,1,0.6042239203034079,0.5725612376388971,0.6323459458959814,0.7592920353982301,0.697345132743363,0.8176991150442479,0.6628318584070797,0.6106194690265485,0.7150663716814158,0.8752146966192909,0.8528671858176957,0.8961616426348059
pilot_holdout,F_composite,abs_cross_instrument,113,3,0.6100868570364117,0.579424178571835,0.6405888280863714,0.7292035398230089,0.6672566371681417,0.7893805309734512,0.620353982300885,0.5619469026548674,0.6716814159292036,0.8700336143224356,0.8473920750269291,0.891318721201735
pilot_holdout,F_paper,signed,113,1,0.2712038054472841,0.22000735054817622,0.3173824026564501,0.7327433628318584,0.6654424778761061,0.7964601769911505,0.6150442477876106,0.5584070796460177,0.670796460176991,0.8444955962551521,0.8163031577731188,0.867955459150574
pilot_holdout,F_paper,abs,113,1,0.6042335801961568,0.5729225682586426,0.6331866220728766,0.7592920353982301,0.6955309734513274,0.8176991150442479,0.6628318584070797,0.6097345132743363,0.7150442477876104,0.8755286692061317,0.8539700322474044,0.895510598201833
pilot_holdout,F_paper,abs_cross_instrument,113,3,0.6101219609767571,0.5803116769474019,0.6392638452960401,0.7292035398230089,0.6690265486725663,0.7876106194690266,0.620353982300885,0.5619469026548672,0.6752212389380531,0.8700490472442589,0.8476362236565791,0.8906644574469289
validation_prolific,plain,signed,80,8,0.2957203764653661,0.2560963140459566,0.3341606557832381,0.5375,0.4575,0.6199999999999999,0.4437500000000001,0.36875,0.51875,0.7616825260020711,0.7260573174987659,0.7946835620547666
validation_prolific,plain,abs,80,8,0.34180755028058424,0.29708063841815846,0.38840644273171593,0.5375,0.45500000000000007,0.62,0.445,0.36500000000000005,0.52,0.7616276760452978,0.7276232763462918,0.7947408593842143
