semanticnet_scale,n_items,match_type,n_dois,dois
critical processing of beauty images,22,core_exact,1,10.1037/t46344-000
cross racial identity,50,core_exact,1,10.1037/t01825-000
csss - approach cognitive,3,none,0,
csss - avoidance cognitive,3,none,0,
csss - behavior,4,none,0,
csss - coach,3,none,0,
csss - performance,4,none,0,
cultural cognition - hierarchy,13,none,0,
cultural cognition - individualism,9,none,0,
cultural estrangement,10,core_exact,1,10.1037/t18293-000
cultural participation,14,none,0,
culture,10,core_exact,3,10.1037/t26693-000;10.1037/t57802-000;10.1037/t57803-000
culture2,6,none,0,
culture3,6,none,0,
curiosity,16,none,0,
curiosity and exploration,10,core_exact,2,10.1037/t04257-000;10.1037/t09556-000
curiosity and exploration2,7,none,0,
current status a,13,none,0,
current status b,10,none,0,
customer inspiration,10,core_exact,1,10.1037/t65978-000
cvc - intimiate relations,11,none,0,
cvc - sex role expectations,13,none,0,
cynical distrust,8,core_exact,1,10.1037/t75606-000
d scale,28,none,0,
daily living,5,none,0,
daily stress,59,core_exact,2,10.1037/t04751-000;10.1037/t09089-000
dangerous thrill-seeking,10,none,0,
dark triad m,9,none,0,
dark triad n,9,none,0,
dark triad p,9,none,0,
davidson trauma,17,core_exact,2,10.1037/t04973-000;10.1037/t46167-000
death acceptance,7,core_exact,1,10.1037/t04678-000
death anxiety,15,core_exact,10,10.1037/t00866-000;10.1037/t03806-000;10.1037/t04680-000;10.1037/t06813-000;10.1037/t55943-000;10.1037/t60246-000;10.1037/t63176-000;10.1037/t65895-000
death depression,17,core_exact,3,10.1037/t14461-000;10.1037/t86236-000;10.1037/t86237-000
decision regret,5,core_exact,2,10.1037/t28680-000;10.1037/t55394-000
decisional balance exercise,10,fuzzy,2,10.1037/t81217-000;10.1037/t81236-000
decisiveness facet,6,none,0,
deferment_of_gratification_scale,12,core_exact,2,10.1037/t11789-000;10.1037/t50216-000
deliberateness,10,none,0,
delinquent activities,40,core_exact,1,10.1037/t32628-000
dementia mood - cognition,7,none,0,
dementia mood - mood,17,none,0,
dementia severity - activities,5,none,0,
dementia severity - cleanliness,4,none,0,
dementia severity - decisions,5,none,0,
dementia severity - eating,4,none,0,
dementia severity - memory,7,none,0,
dementia severity - orientation,5,none,0,
dementia severity - placetoplace,7,none,0,
dementia severity - recognition,6,none,0,
dementia severity - social,7,none,0,
dementia severity - speech,7,none,0,
dementia severity - time,5,none,0,
dementia severity - urination,5,none,0,
dependence,10,none,0,
dependence2,10,none,0,
depressed mood - sleep,6,none,0,
depression,22,core_exact,13,10.1037/t11128-000;10.1037/t11182-000;10.1037/t11328-000;10.1037/t17319-000;10.1037/t24506-000;10.1037/t26103-000;10.1037/t56071-000;10.1037/t58137-000
depression arkansas,11,none,0,
depression information - knowledge,18,none,0,
depression information - knowledge causes,16,none,0,
depression information - treatments,12,none,0,
depression-happiness,25,core_exact,4,10.1037/t56048-000;10.1037/t56208-000;10.1037/t56444-000;10.1037/t87200-000
depression2,22,none,0,
depressiveness,6,none,0,
depth,19,none,0,
derogation of competitors,84,none,0,
derogatis sexual functioning - satisfaction,7,none,0,
deservingness of bad outcomes,9,core_exact,2,10.1037/t36174-000;10.1037/t36241-000
desirability of control,20,core_exact,4,10.1037/t04509-000;10.1037/t17274-000;10.1037/t38168-000;10.1037/t57521-000
desire for control,11,core_exact,1,10.1037/t53814-000
desire for status,9,none,0,
devotionalism,3,none,0,
diagnostic inventory for depression,22,exact,1,10.1037/t21815-000
dickman impulsivity - dysfunctional,12,none,0,
dickman impulsivity - functional,11,none,0,
dickman_functional_and_dysfunctional_impulsivity_survey,23,none,0,
diet self efficacy,11,fuzzy,1,10.1037/t23679-000
dieting beliefs,16,core_exact,1,10.1037/t62732-000
difficulties in emotion regulation - awareness,9,none,0,
difficulties in emotion regulation - clarity,6,none,0,
difficulties in emotion regulation - goal,5,fuzzy,17,10.1037/t01029-000;10.1037/t38610-000;10.1037/t42068-000;10.1037/t49572-000;10.1037/t50878-000;10.1037/t57299-000;10.1037/t65313-000;10.1037/t65314-000
difficulties in emotion regulation - goals,5,none,0,
difficulties in emotion regulation - impulse,6,none,0,
difficulties in emotion regulation - impulsivity,6,none,0,
difficulties in emotion regulation - non-acceptance,7,none,0,
difficulties in emotion regulation - nonacceptance,6,none,0,
difficulties in emotion regulation - strategies,16,none,0,
diligence,10,none,0,
dimensional obsessive compulsive scale,18,exact,11,10.1037/t01031-000;10.1037/t60794-000;10.1037/t61478-000;10.1037/t66519-000;10.1037/t67910-000;10.1037/t72755-000;10.1037/t74578-000;10.1037/t77212-000
"dimensional obsessive compulsive scale, how difficult is it for you to disregard thoughts about the lack of symmetry and order",1,none,0,
dimensions of emerging adulthood,31,none,0,
directiveness,26,none,0,
dirty dozen m,4,none,0,
dirty dozen n,4,none,0,
dirty dozen p,4,none,0,
disgust,20,core_exact,8,10.1037/t01043-000;10.1037/t09518-000;10.1037/t12177-000;10.1037/t14510-000;10.1037/t14550-000;10.1037/t33848-000;10.1037/t35311-000;10.1037/t73028-000
disorder,10,none,0,
disordered eating attitude,26,core_exact,1,10.1037/t68994-000
dispos. positive emotion,21,none,0,
dispositional contempt,10,core_exact,1,10.1037/t63820-000
dispositional cynicism,5,none,0,
disruptive behavior stress,40,none,0,
dissociation absorption,8,none,0,
dissociation amnesia,5,none,0,
dissociation depersonalization,8,none,0,
dissociation l,31,none,0,
dissociation s,17,none,0,
dissociative processes - general sleep,15,none,0,
dissociative processes - lucid,3,none,0,
dissonance of purchase - concern,3,none,0,
dissonance of purchase - emotional,16,none,0,
dissonance of purchase - wisdom,4,none,0,
distress tolerance,16,core_exact,3,10.1037/t13498-000;10.1037/t67563-000;10.1037/t68244-000
distrust,10,none,0,
distrust of others,11,none,0,
distrust of people,3,none,0,
distrust2,10,none,0,
diversity of friendship,10,none,0,
docility,8,none,0,
dogmatism,22,none,0,
domain specific risk taking - ethical,5,none,0,
domain specific risk taking - financial,6,none,0,
domain specific risk taking - health safety,6,none,0,
domain specific risk taking - recreation,6,none,0,
domain specific risk taking - social,6,none,0,
domestic battering,11,none,0,
dominance,18,core_exact,2,10.1037/t35622-000;10.1037/t64763-000
dominance - authority,14,none,0,
dominance - disparagement,11,none,0,
dominance - restrictiveness,12,none,0,
domineering,6,none,0,
dospert_eb_survey,30,none,0,
dospert_rp_survey,30,none,0,
dospert_rt_survey,30,none,0,
drinker inventory of consequences - control questions,5,none,0,
drinker inventory of consequences - impulse control,12,none,0,
drinker inventory of consequences - interpersonal,10,none,0,
drinker inventory of consequences - intrapersonal,8,none,0,
drinker inventory of consequences - physical,8,none,0,
drinker inventory of consequences - responsibility,7,none,0,
drinking,5,none,0,
drinking locus of control,25,none,0,
drive,10,exact,1,10.1037/t70597-000
drive for muscularity,23,core_exact,11,10.1037/t38608-000;10.1037/t39771-000;10.1037/t43209-000;10.1037/t49702-000;10.1037/t58466-000;10.1037/t63934-000;10.1037/t64053-000;10.1037/t69523-000
driver stress - general,11,none,0,
driver stress - state,26,none,0,
driver stress - state coping,26,none,0,
driver stress - trait coping,20,none,0,
driving anger,14,core_exact,2,10.1037/t16551-000;10.1037/t56874-000
drug use,30,core_exact,4,10.1037/t12202-000;10.1037/t31524-000;10.1037/t31887-000;10.1037/t61800-000
drug-taking confidence - alcohol,8,none,0,
dunbar activity walking,14,none,0,
dunedin depression,21,none,0,
dutch sleep disorders,34,none,0,
dutifulness,10,none,0,
dutifulness2,10,none,0,
dutifulness3,10,none,0,
dutifulness4,10,none,0,
dutifulness5,13,none,0,
dyadic interactional harmony,50,none,0,
dyadic trust,8,none,0,
dysfunctional beliefs and attitudes about sleep,22,core_exact,4,10.1037/t07113-000;10.1037/t11904-000;10.1037/t24607-000;10.1037/t54663-000
dysfunctional beliefs and attitudes about sleep2,30,fuzzy,4,10.1037/t07113-000;10.1037/t11904-000;10.1037/t24607-000;10.1037/t54663-000
dysphoria in youth,12,none,0,
early memories of warmth and safeness,21,core_exact,3,10.1037/t67078-000;10.1037/t67079-000;10.1037/t79282-000
easy to live with,6,none,0,
eating behavior,11,core_exact,8,10.1037/t04413-000;10.1037/t08453-000;10.1037/t12263-000;10.1037/t18587-000;10.1037/t28955-000;10.1037/t32220-000;10.1037/t70357-000;10.1037/t80807-000
eating disorder edi - awareness,10,none,0,
eating disorder edi - body dissatisfaction,9,none,0,
eating disorder edi - bulimia,7,none,0,
eating disorder edi - ineffectiveness,10,none,0,
eating disorder edi - interpersonal distrust,7,none,0,
eating disorder edi - maturity fears,8,none,0,
eating disorder edi - perfectionism,6,none,0,
eating disorder edi - thinness,7,none,0,
eating disorder examination,28,exact,2,10.1037/t03975-000;10.1037/t77067-000
economic loc,40,none,0,
economic system justification,16,core_exact,2,10.1037/t68538-000;10.1037/t72199-000
ed15,13,none,0,
edinburgh depression,6,core_exact,1,10.1037/t10761-000
edinburgh post natal depression,10,none,0,
edinburgh postnatal depression,10,core_exact,16,10.1037/t01756-000;10.1037/t11109-000;10.1037/t11281-000;10.1037/t12304-000;10.1037/t29094-000;10.1037/t34457-000;10.1037/t38904-000;10.1037/t41466-000
education,7,core_exact,3,10.1037/t13769-000;10.1037/t16946-000;10.1037/t21660-000
eesc - expression reluctance,8,none,0,
eesc - poor awareness,8,none,0,
efficiency,11,core_exact,1,10.1037/t31528-000
effort,6,exact,1,10.1037/t60694-000
effort2,6,none,0,
egoism,17,none,0,
elaboration potential outcomes - generation,6,none,0,
elaboration potential outcomes - negative,4,none,0,
elaboration potential outcomes - positive,3,none,0,
emotio regulation,10,none,0,
emotion cognition,15,core_exact,1,10.1037/t05926-000
emotion regulation of self - increase pleasant,6,none,0,
emotion regulation of self - increase unpleasant,6,none,0,
emotion-based decision-making,9,none,0,
emotion_regulation_questionnaire,10,exact,13,10.1037/t03783-000;10.1037/t06463-000;10.1037/t07563-000;10.1037/t27857-000;10.1037/t32200-000;10.1037/t52041-000;10.1037/t60386-000;10.1037/t75304-000
emotion_regulation_strategies_scale,21,exact,1,10.1037/t81549-000
emotional contagion,14,core_exact,8,10.1037/t07986-000;10.1037/t07987-000;10.1037/t07988-000;10.1037/t47269-000;10.1037/t52406-000;10.1037/t59378-000;10.1037/t63003-000;10.1037/t75968-000
emotional cost,6,none,0,
emotional detachment,7,none,0,
emotional empathy,33,core_exact,1,10.1037/t06852-000
emotional instability,10,core_exact,1,10.1037/t14649-000
emotional labour,15,core_exact,1,10.1037/t44754-000
emotional self- disclosure - anger,5,none,0,
emotional self- disclosure - anxiety,5,none,0,
emotional self- disclosure - apathy,5,none,0,
emotional self- disclosure - calmness,5,none,0,
emotional self- disclosure - depression,5,none,0,
emotional self- disclosure - fear,5,none,0,
emotional self- disclosure - happiness,5,none,0,
emotional self- disclosure - jealousy,5,none,0,
emotional stability,14,none,0,
emotional stability 10 item,10,none,0,
emotional stability 20 item,20,none,0,
emotional state - agoraphobia–panic,5,none,0,
emotional state - anxiety,6,none,0,
emotional state - depression,8,none,0,
emotional state - fatigue,5,none,0,
emotional state - insomnia,3,none,0,
emotionality,10,core_exact,1,10.1037/t25785-000
emotionality2,10,none,0,
empathic concern,10,none,0,
empathizing,60,none,0,
empathy,16,core_exact,13,10.1037/t05874-000;10.1037/t08097-000;10.1037/t09862-000;10.1037/t11543-000;10.1037/t14879-000;10.1037/t27109-000;10.1037/t42239-000;10.1037/t59982-000
empathy/systemizing quotient (child),55,exact,1,10.1037/t00385-000
empathy2,6,none,0,
empathy3,10,none,0,
empathy4,9,none,0,
employee resilience,13,none,0,
employment hope,13,core_exact,4,10.1037/t47103-000;10.1037/t47107-000;10.1037/t64111-000;10.1037/t79295-000
end of life curriculum,22,none,0,
enforced social dependency - bathing,8,none,0,
enforced social dependency - communication,3,none,0,
enforced social dependency - dressing,5,none,0,
enforced social dependency - eating,7,none,0,
enforced social dependency - recreation social,7,none,0,
enforced social dependency - role home,8,none,0,
enforced social dependency - role work,9,none,0,
enforced social dependency - toileting,5,none,0,
enforced social dependency - travel,5,none,0,
enforced social dependency - walking,7,none,0,
entertaining,5,none,0,
enthusiasm,10,core_exact,2,10.1037/t49078-000;10.1037/t67524-000
entitlement,9,none,0,
environment preference,16,none,0,
environmental action,18,core_exact,2,10.1037/t47310-000;10.1037/t79130-000
environmental behavior,7,exact,1,10.1037/t79343-000
environmental concern,5,core_exact,4,10.1037/t26025-000;10.1037/t30423-000;10.1037/t59262-000;10.1037/t62368-000
environmental perceptions,48,none,0,
environmental symptom-attribution,40,none,0,
epworth sleepiness,9,core_exact,6,10.1037/t07081-000;10.1037/t07082-000;10.1037/t07083-000;10.1037/t51599-000;10.1037/t78797-000;10.1037/t83321-000
equity fairness,9,none,0,
erectyle disfunction,15,none,0,
erudition,10,none,0,
ethics position,28,core_exact,2,10.1037/t45699-000;10.1037/t87351-000
ethnocentrism,22,core_exact,1,10.1037/t00464-000
even-tempered,6,none,0,
everyday discrimination revised,5,none,0,
ex-relationship,19,none,0,
exchange quality colquitt,7,none,0,
excitement-seeking,10,none,0,
exercise,7,none,0,
exhibitionism,10,none,0,
exhibitionism2,6,none,0,
exhibitionistic,6,none,0,
experience of shame,25,core_exact,6,10.1037/t38619-000;10.1037/t39071-000;10.1037/t45111-000;10.1037/t60109-000;10.1037/t60473-000;10.1037/t79832-000
experience-seeking,6,none,0,
experiences in close relationships,36,exact,8,10.1037/t03724-000;10.1037/t05655-000;10.1037/t10508-000;10.1037/t14663-000;10.1037/t51913-000;10.1037/t69033-000;10.1037/t72986-000;10.1037/t84749-000
experiences of caregiving - backup,6,none,0,
experiences of caregiving - dependency,5,none,0,
experiences of caregiving - difficult,8,none,0,
experiences of caregiving - family,7,none,0,
experiences of caregiving - loss,7,none,0,
experiences of caregiving - negative,6,none,0,
experiences of caregiving - positive,8,none,0,
experiences of caregiving - relationship,6,none,0,
experiences of caregiving - services,8,none,0,
experiences of caregiving - stigma,5,none,0,
exposure to negative news about muslims,4,none,0,
expressiveness,10,none,0,
extended satisfaction with life,50,none,0,
extravagance,4,none,0,
extraversion,10,core_exact,1,10.1037/t11449-000
extraversion 10 item,10,none,0,
extraversion 20 item,20,none,0,
extraversion/introversion,22,none,0,
extraversion2,10,none,0,
extrinsic contingency focus,20,core_exact,1,10.1037/t33694-000
face valid depression adolescents,35,none,0,
faces of fatigue and sleepiness - anergy,10,none,0,
faces of fatigue and sleepiness - consciousness,5,none,0,
faces of fatigue and sleepiness - energized,10,none,0,
faces of fatigue and sleepiness - fatigue,15,none,0,
faces of fatigue and sleepiness - sleepiness,10,none,0,
fair market ideology,24,none,0,
fairness,10,core_exact,2,10.1037/t00779-000;10.1037/t19355-000
faith in intuition,15,none,0,
faith-based social capital,4,none,0,
famha - community,5,none,0,
famha - health,10,none,0,
famha - interpersonal,6,none,0,
famha - mood,5,none,0,
famha - state,13,none,0,
famha - substance misuse & criminality,7,none,0,
familism,9,core_exact,6,10.1037/t15264-000;10.1037/t18627-000;10.1037/t19146-000;10.1037/t33287-000;10.1037/t34396-000;10.1037/t61921-000
familiy quality of life,25,none,0,
family almost perfect,17,core_exact,1,10.1037/t03500-000
family asthma management system,3,core_exact,1,10.1037/t05269-000
family distress s,9,fuzzy,3,10.1037/t10330-000;10.1037/t35495-000;10.1037/t67934-000
family pain,16,none,0,
family role performance,8,core_exact,1,10.1037/t41976-000
family violence,3,none,0,
family's quality of life - family,14,none,0,
family's quality of life - family health,12,none,0,
family's quality of life - financial,15,none,0,
fanship,11,core_exact,1,10.1037/t43537-000
fantasy engagement,8,core_exact,1,10.1037/t63420-000
fantasy proneness,6,none,0,
farsi mood,24,core_exact,1,10.1037/t41343-000
fascism,5,none,0,
fashion,5,core_exact,1,10.1037/t18752-000
fatalism,24,core_exact,4,10.1037/t44850-000;10.1037/t58824-000;10.1037/t61956-000;10.1037/t62897-000
fatigue - mental,6,none,0,
fatigue - physical,8,none,0,
fear,24,core_exact,16,10.1037/t05463-000;10.1037/t05694-000;10.1037/t05695-000;10.1037/t06624-000;10.1037/t08168-000;10.1037/t08203-000;10.1037/t09924-000;10.1037/t13760-000
fear fss,72,none,0,
fear of crime,4,core_exact,16,10.1037/t02222-000;10.1037/t06078-000;10.1037/t18243-000;10.1037/t21253-000;10.1037/t24135-000;10.1037/t25526-000;10.1037/t25735-000;10.1037/t35151-000
fear of happiness,5,core_exact,3,10.1037/t26388-000;10.1037/t39250-000;10.1037/t65400-000
fear of loss of vigilance,14,core_exact,1,10.1037/t69946-000
fear of missing out,10,exact,1,10.1037/t77574-000
fear of negative evaluation,12,core_exact,7,10.1037/t00048-000;10.1037/t00794-000;10.1037/t07769-000;10.1037/t12259-000;10.1037/t12831-000;10.1037/t41457-000;10.1037/t60145-000
fear of negative evaluation - fne,30,fuzzy,7,10.1037/t00048-000;10.1037/t00794-000;10.1037/t07769-000;10.1037/t12259-000;10.1037/t12831-000;10.1037/t41457-000;10.1037/t60145-000
fear of negative evaluation - straightforward,8,core_exact,1,10.1037/t41452-000
fear of physician,5,none,0,
fearfulness,10,none,0,
feeling and attitude - e,11,none,0,
feeling and attitude - f,21,none,0,
feeling and attitude - m,8,none,0,
feeling and attitude - o,10,none,0,
feeling and attitude - p,17,none,0,
feeling and attitude - w,10,none,0,
feighner criteria group,62,none,0,
female phys dating violence,12,none,0,
female psych dating violence,13,none,0,
female sexu dating violence,12,none,0,
femininity,8,core_exact,1,10.1037/t75702-000
femininity ideology - caretaking,7,none,0,
femininity ideology - dependency,10,none,0,
femininity ideology - emotionality,8,none,0,
femininity ideology - purity,9,none,0,
femininity ideology - stereotypic,11,none,0,
ferrans and powers quality of life,50,none,0,
fetal health loc,18,none,0,
fibrofatigue,11,core_exact,1,10.1037/t12560-000
financial,6,none,0,
financial shame,7,none,0,
finding meaning through caregiving - loss,19,none,0,
finding meaning through caregiving - provisional,19,none,0,
finding meaning through caregiving - ultimate,5,none,0,
firesetting risk,17,none,0,
five_facets_of_mindfulness_survey,39,core_exact,2,10.1037/t73171-000;10.1037/t73172-000
flexibility,10,core_exact,2,10.1037/t41179-000;10.1037/t51987-000
florida obsessive inventory,26,none,0,
flourishing,8,core_exact,8,10.1037/t03126-000;10.1037/t46056-000;10.1037/t65584-000;10.1037/t70222-000;10.1037/t72154-000;10.1037/t72598-000;10.1037/t79796-000;10.1037/t84663-000
flow state,36,core_exact,9,10.1037/t03190-000;10.1037/t29085-000;10.1037/t39584-000;10.1037/t54346-000;10.1037/t54382-000;10.1037/t68633-000;10.1037/t69534-000;10.1037/t79527-000
following affective states,16,core_exact,1,10.1037/t10148-000
food acceptance and awareness,10,core_exact,1,10.1037/t34494-000
food environment,39,core_exact,1,10.1037/t21779-000
food preoccupation,26,core_exact,1,10.1037/t03345-000
food-related,7,none,0,
forcefulness,10,none,0,
forensic evidence evaluation bias,10,core_exact,1,10.1037/t62636-000
forgiveness,13,core_exact,8,10.1037/t04687-000;10.1037/t12860-000;10.1037/t47751-000;10.1037/t48846-000;10.1037/t49886-000;10.1037/t50498-000;10.1037/t52010-000;10.1037/t74812-000
forgiveness mercy,9,none,0,
four dimen. symptoms,50,none,0,
fragility of happiness,4,none,0,
friendliness,10,core_exact,2,10.1037/t13580-000;10.1037/t20876-000
friendliness2,10,none,0,
friendliness3,10,none,0,
friendliness4,10,none,0,
friendliness5,10,none,0,
friendliness6,10,none,0,
friendship and relationship quotient,35,exact,1,10.1037/t00392-000
friendship quality - companionship,5,none,0,
friendship quality - conflict,7,none,0,
friendship quality - conflict resolution,3,none,0,
friendship quality - help,9,none,0,
friendship quality - intimate,6,none,0,
friendship quality - validation,10,none,0,
"fruit, juice and vegetable availability shopping",25,none,0,
fun-seeking,10,none,0,
functional behavior profile,27,exact,1,10.1037/t14647-000
functional outcomes of sleep - activity,9,none,0,
functional outcomes of sleep - intimacy,4,none,0,
functional outcomes of sleep - productivity,8,none,0,
functional outcomes of sleep - social,2,none,0,
functional outcomes of sleep - vigilance,7,none,0,
furnham parental loc,61,none,0,
future time orientation,6,none,0,
future_orientation_scale_of_the_time_perspective_survey,13,none,0,
future_time_perspective_survey,10,core_exact,11,10.1037/t09704-000;10.1037/t10770-000;10.1037/t14476-000;10.1037/t21897-000;10.1037/t31314-000;10.1037/t47108-000;10.1037/t54975-000;10.1037/t65550-000
gad,8,none,0,
gambling,6,core_exact,2,10.1037/t23934-000;10.1037/t47791-000
game addiction - conflict,3,none,0,
game addiction - mood,3,none,0,
game addiction - problems,3,none,0,
game addiction - relapse,3,none,0,
game addiction - salience,3,none,0,
game addiction - tolerance,3,none,0,
game addiction - withdrawal,3,none,0,
game-playing,5,none,0,
gardening,6,none,0,
gender role conflict - affectionate men,8,none,0,
gender role conflict - deviance embarassement,3,none,0,
gender role conflict - emotional response,3,none,0,
gender role conflict - emotionality,10,none,0,
gender role conflict - homophobia,4,none,0,
gender role conflict - success,13,none,0,
gender role conflict - success2,6,none,0,
gender role conflict - work vs family,6,none,0,
gender stereotypes feminine cognitive,6,none,0,
gender stereotypes feminine negative personality,8,none,0,
gender stereotypes feminine personality,8,none,0,
gender stereotypes feminine physical,6,none,0,
gender stereotypes masculine cognitive,6,none,0,
gender stereotypes masculine negative personality,8,none,0,
gender stereotypes masculine personality,8,none,0,
gender stereotypes masculine physical,6,none,0,
general -spectrum - eating,12,none,0,
general -spectrum - mood depressive,9,none,0,
general -spectrum - mood manic,5,none,0,
general -spectrum - oc,9,none,0,
general -spectrum - panic,9,none,0,
general -spectrum - social phobia,11,none,0,
general decision making style,25,core_exact,2,10.1037/t08399-000;10.1037/t80001-000
general ethnocentrism,21,none,0,
general procrastination,20,core_exact,5,10.1037/t10343-000;10.1037/t10344-000;10.1037/t51312-000;10.1037/t72706-000;10.1037/t75377-000
general regulatory focus,18,core_exact,1,10.1037/t52112-000
general self-efficacy,10,core_exact,18,10.1037/t00393-000;10.1037/t03070-000;10.1037/t11404-000;10.1037/t11407-000;10.1037/t11409-000;10.1037/t11412-000;10.1037/t11413-000;10.1037/t11415-000
generalised attitude,6,none,0,
generalized anxiety disorder - cognitive,7,none,0,
generalized anxiety disorder - sleep,2,none,0,
generalized anxiety disorder - somatic,9,none,0,
generalized contentment,20,none,0,
generalized expectancy for success,31,core_exact,2,10.1037/t01292-000;10.1037/t06051-000
generalized opinion leadership,20,core_exact,1,10.1037/t58343-000
generalized_self_efficacy_scale,12,exact,1,10.1037/t82099-000
generates ideas,6,none,0,
generic job satisfaction,10,none,0,
gentleness,10,none,0,
geriatric depression,31,core_exact,14,10.1037/t00930-000;10.1037/t01786-000;10.1037/t03807-000;10.1037/t31463-000;10.1037/t45644-000;10.1037/t55661-000;10.1037/t65266-000;10.1037/t68727-000
geriatric hopelessness,30,core_exact,1,10.1037/t04305-000
glasgow content of thoughts,25,core_exact,2,10.1037/t35957-000;10.1037/t66432-000
global citizen,22,none,0,
god's engagement,15,none,0,
good attachment,6,none,0,
good memory,5,none,0,
good-nature,10,none,0,
goodness,7,none,0,
government favoritism of religion,4,none,0,
government regulation of religion,6,none,0,
grandiosity,7,core_exact,2,10.1037/t20570-000;10.1037/t72897-000
gratitude,14,core_exact,12,10.1037/t01837-000;10.1037/t37920-000;10.1037/t54922-000;10.1037/t61735-000;10.1037/t66518-000;10.1037/t66600-000;10.1037/t74642-000;10.1037/t76148-000
gratitude resentment appreciation,44,fuzzy,2,10.1037/t60787-000;10.1037/t60955-000
greed,7,none,0,
greed avoidance,10,none,0,
green activities,7,none,0,
gregarious-extraverted,4,none,0,
gregariousness,10,none,0,
gregariousness2,10,none,0,
gregariousness3,10,none,0,
gregariousness4,10,none,0,
gregariousness5,10,none,0,
grit - consistency of efforts,6,none,0,
grit - perseverance,6,none,0,
grit_scale_survey,8,core_exact,10,10.1037/t01598-000;10.1037/t07051-000;10.1037/t55479-000;10.1037/t67559-000;10.1037/t69594-000;10.1037/t73774-000;10.1037/t75508-000;10.1037/t79106-000
group affiliation with homosexuality,7,none,0,
guilt and shame proneness,23,core_exact,2,10.1037/t03395-000;10.1037/t84605-000
gun attitude,20,core_exact,1,10.1037/t76484-000
hamilton anxiety,28,core_exact,2,10.1037/t02824-000;10.1037/t72908-000
hamilton depression,38,core_exact,7,10.1037/t04100-000;10.1037/t41553-000;10.1037/t52320-000;10.1037/t66135-000;10.1037/t75000-000;10.1037/t84770-000;10.1037/t86132-000
hangover symptom,12,none,0,
happiness,22,core_exact,1,10.1037/t59445-000
happiness and affect,12,none,0,
happiness measures - emotions,3,none,0,
hare psychopathy,20,core_exact,4,10.1037/t01167-000;10.1037/t02503-000;10.1037/t04993-000;10.1037/t69559-000
harm avoidance,10,none,0,
harmonious passion,7,none,0,
harvard national depression screening,10,none,0,
hayes and lohse non-verbal depression - observation,11,none,0,
hayes and lohse non-verbal depression - question,9,none,0,
headache specific locus of control,33,core_exact,3,10.1037/t85122-000;10.1037/t85130-000;10.1037/t87084-000
health anxiety,82,core_exact,5,10.1037/t14108-000;10.1037/t44341-000;10.1037/t52973-000;10.1037/t59068-000;10.1037/t59604-000
health behavior,6,core_exact,7,10.1037/t03217-000;10.1037/t29918-000;10.1037/t39763-000;10.1037/t43708-000;10.1037/t72216-000;10.1037/t72432-000;10.1037/t82936-000
health climate,10,none,0,
health loc children,21,none,0,
health locus of control,11,core_exact,2,10.1037/t00950-000;10.1037/t15553-000
health locus of control2,54,none,0,
health orientation - ha,5,fuzzy,1,10.1037/t61218-000
health orientation - he,5,fuzzy,1,10.1037/t61218-000
health orientation - hec,5,none,0,
health orientation - hec2,5,none,0,
health orientation - hic,5,none,0,
health orientation - hic2,5,none,0,
health orientation - hs,5,fuzzy,1,10.1037/t61218-000
health orientation - mau,5,none,0,
health orientation - mh,5,fuzzy,1,10.1037/t61218-000
health orientation - pho,5,none,0,
hemispheric brain dominance,20,none,0,
hemispheric preference,12,none,0,
heroes and heroines,50,none,0,
herth hope,30,core_exact,7,10.1037/t03629-000;10.1037/t05480-000;10.1037/t21563-000;10.1037/t66245-000;10.1037/t78963-000;10.1037/t78964-000;10.1037/t82693-000
hetero attitudes towards homosexuals,20,none,0,
heteronormative attitudes - norm behavior,7,none,0,
heteronormative attitudes - seks/gender,7,none,0,
hexaco brief,24,core_exact,2,10.1037/t29626-000;10.1037/t72790-000
hiv / aids knowledge,26,core_exact,1,10.1037/t20964-000
hiv disclosure cognition and affect,18,none,0,
hiv stigma,40,core_exact,12,10.1037/t17293-000;10.1037/t19334-000;10.1037/t44484-000;10.1037/t48015-000;10.1037/t48969-000;10.1037/t64550-000;10.1037/t70177-000;10.1037/t72117-000
holistic complementary and alternative health,12,none,0,
homeless engagement and acceptance,5,core_exact,1,10.1037/t37704-000
homophily,8,core_exact,1,10.1037/t43970-000
homophobia,25,core_exact,7,10.1037/t07010-000;10.1037/t08106-000;10.1037/t13716-000;10.1037/t25067-000;10.1037/t30690-000;10.1037/t41369-000;10.1037/t80583-000
homophobia - gay men,10,none,0,
homophobia - lesbians,10,none,0,
hong psychological reactance,14,core_exact,3,10.1037/t01605-000;10.1037/t08336-000;10.1037/t79970-000
hope,19,exact,1,10.1037/t05239-000
hope children,6,none,0,
hope/optimism,8,none,0,
hopelessness,31,core_exact,5,10.1037/t00966-000;10.1037/t00967-000;10.1037/t25773-000;10.1037/t56860-000;10.1037/t84610-000
hopelessness depression symptom,32,core_exact,1,10.1037/t59143-000
horizontal collectivism,7,none,0,
horizontal individualism,8,none,0,
hospital anxiety and depression,14,core_exact,13,10.1037/t03589-000;10.1037/t05677-000;10.1037/t28428-000;10.1037/t49628-000;10.1037/t55265-000;10.1037/t60478-000;10.1037/t70975-000;10.1037/t72233-000
hostile aggression,8,none,0,
hotel dieu - cognitive,8,none,0,
hotel dieu - energy,8,none,0,
hotel dieu - physical,7,none,0,
hotel dieu - psychological,9,none,0,
hotel dieu - social,11,none,0,
housekeeping,7,none,0,
