meta_doi,meta_instrument_name,scale_name,item_text,database,corpus,url
NA,Mood and Feelings Questionnaire - Child Short Version (13-item) (MFQ),total_scale,I was very restless,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=MHCYP
NA,Mood and Feelings Questionnaire - Child Short Version (13-item) (MFQ),total_scale,I was very restless,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=REACH
NA,Mood and Feelings Questionnaire (MFQ),total_scale,I was very restless,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=ROOTS
NA,Centre for Epidemiologic Studies Depression Scale Revised (20-item) (CES-D),total_scale,I could not get 'going',CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=HEAF
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,"I could not get ""going""",CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=NICOLA
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,"I could not ""get going""",NIHHeal,larsen_corpus,https://heal.nih.gov/files/CDEs/2024-03/cesd-cde
NA,Depression Scale,total_scale,"I could not get ""going.'?",ScienceofBehaviorChange,larsen_corpus,NA
NA,Mood And Feelings Questionnaire (34-item)(MFQ),total_scale,I found it hard to think properly or concentrate,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=EPAD
NA,Mood and Feelings Questionnaire (13-item) (MFQ) (Short version),total_scale,I found it hard to think properly or concentrate,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=LOGIC
NA,Mood and Feelings Questionnaire - Child Short Version (13-item) (MFQ),total_scale,I found it hard to think properly or concentrate,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=MHCYP
NA,Mood and Feelings Questionnaire - Child Short Version (13-item) (MFQ),total_scale,I found it hard to think properly or concentrate,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=REACH
NA,Mood and Feelings Questionnaire (MFQ),total_scale,I found it hard to think properly or concentrate,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=ROOTS
NA,Centre for Epidemiologic Studies Depression Scale Revised (20-item) (CES-D),total_scale,I did not feel like eating; my appetite was poor,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=HEAF
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,I did not feel like eating; my appetite was poor,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=NICOLA
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,I did not feel like eating; my appetite was poor.,NIHHeal,larsen_corpus,https://heal.nih.gov/files/CDEs/2024-03/cesd-cde
NA,Depression Scale,total_scale,I did not feel like eating; my appetite was poor.,ScienceofBehaviorChange,larsen_corpus,NA
NA,Mood And Feelings Questionnaire (34-item)(MFQ),total_scale,I felt I was no good anymore,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=EPAD
NA,Mood and Feelings Questionnaire (13-item) (MFQ) (Short version),total_scale,I felt I was no good anymore,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=LOGIC
NA,Mood and Feelings Questionnaire - Child Short Version (13-item) (MFQ),total_scale,I felt I was no good anymore,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=MHCYP
NA,Mood and Feelings Questionnaire - Child Short Version (13-item) (MFQ),total_scale,I felt I was no good anymore,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=REACH
NA,Mood and Feelings Questionnaire (MFQ),total_scale,I felt I was no good anymore,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=ROOTS
NA,Centre for Epidemiologic Studies Depression Scale Revised (20-item) (CES-D),total_scale,My sleep was restless,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=HEAF
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,My sleep was restless,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=NICOLA
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,My sleep was restless,NIHHeal,larsen_corpus,https://heal.nih.gov/files/CDEs/2024-03/cesd-cde
NA,Depression Scale,total_scale,My sleep was restless.,ScienceofBehaviorChange,larsen_corpus,NA
NA,Impact of Events Scale-Revised,Hyperarousal,I had trouble falling asleep.,Stress Measurement Network,larsen_corpus,NA
NA,Impact of Events Scale,Subjective Distress,I had trouble falling asleep.,Stress Measurement Network,larsen_corpus,NA
NA,PROMIS Item Bank v0.1 – Sleep Disturbance – Short Form 6a,total_scale,I had difficulty falling asleep,NIHHeal,larsen_corpus,https://heal.nih.gov/files/CDEs/2023-05/sleep-disturbance-6a-cdes
NA,Mood And Feelings Questionnaire (34-item)(MFQ),total_scale,I didn't sleep as well as I usually sleep,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=EPAD
NA,Mood and Feelings Questionnaire (MFQ),total_scale,I didn't sleep as well as I usually sleep,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=ROOTS
NA,Mood And Feelings Questionnaire (34-item)(MFQ),total_scale,I felt like talking less than usual,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=EPAD
NA,Mood and Feelings Questionnaire (MFQ),total_scale,I felt like talking less than usual,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=ROOTS
NA,The Stanford Acute Stress Reaction Questionnaire,Anxiety,I felt irritable or had outbursts of anger,Stress Measurement Network,larsen_corpus,NA
NA,Centre for Epidemiologic Studies Depression Scale Revised (20-item) (CES-D),total_scale,I thought my life had been a failure,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=HEAF
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,I thought my life had been a failure,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=NICOLA
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,I thought my life had been a failure,NIHHeal,larsen_corpus,https://heal.nih.gov/files/CDEs/2024-03/cesd-cde
NA,Depression Scale,total_scale,I thought my life had been a failure.,ScienceofBehaviorChange,larsen_corpus,NA
