dataset,regime,u,f,s,n_draws,restored_frac_mean,restored_frac_p2.5,restored_frac_p97.5,wrongly_flipped_frac_mean,wrongly_flipped_frac_p2.5,wrongly_flipped_frac_p97.5,restored_frac_unmarked_mean,restored_frac_unmarked_p2.5,restored_frac_unmarked_p97.5,restored_frac_falsely_marked_mean,restored_frac_falsely_marked_p2.5,restored_frac_falsely_marked_p97.5,restored_frac_inverted_scale_mean,restored_frac_inverted_scale_p2.5,restored_frac_inverted_scale_p97.5
pilot_holdout,full,0.0,0.03,0.03,50,0.30235677361191193,0.1447674418604651,0.45520833333333327,0.018122571709639226,0.01476862434013878,0.02100179232532174,,,,0.6775641025641025,0.42857142857142855,0.9082417582417581,0.007213124838124838,0.0,0.06984265734265731
pilot_holdout,full,0.1,0.03,0.03,50,0.4478422568891569,0.34596994535519127,0.614423076923077,0.01775210505240665,0.013680796598403332,0.023220523068902595,0.637811462450593,0.43173076923076925,0.8723846153846153,0.6712087912087913,0.3732142857142857,0.9285714285714286,0.0173765808812479,0.0,0.10631157635467979
pilot_holdout,full,0.25,0.03,0.03,50,0.4734418015792125,0.3461676396997498,0.5767103620474406,0.02075985874102613,0.012702955055896232,0.029027275467148884,0.5616205546121443,0.44191003911342897,0.6486652542372882,0.6552380952380952,0.3732142857142857,0.8571428571428571,0.01600812617483771,0.0,0.10893962848297208
pilot_holdout,full,0.5,0.03,0.03,50,0.3475428601012582,0.25082971638105217,0.4524671052631579,0.03314004969988344,0.0189531805461009,0.04664056647522563,0.341219585859114,0.24150060569351908,0.43370535714285713,0.6679304029304027,0.38063186813186817,0.8571428571428571,0.04861602896587417,0.0,0.4394230769230765
pilot_holdout,full,0.75,0.03,0.03,50,0.18308356451182337,0.117039018250472,0.24774774774774774,0.04463649030954998,0.0327695263388905,0.05945078857312899,0.14065921533498094,0.08617178158628937,0.20431704260651629,0.6443406593406593,0.3705357142857143,0.8571428571428571,0.04624172401460731,0.0,0.2887499999999999
pilot_holdout,full,1.0,0.03,0.03,50,0.0981637960801298,0.06329699342648802,0.13730933496034167,0.001282635022692361,0.0,0.008954264402787319,0.04676940380426413,0.043387463245121625,0.04970032272936837,0.5982873792873793,0.2857142857142857,0.7857142857142857,0.0013333333333333333,0.0,0.0
pilot_holdout,missing_only,0.0,0.0,0.0,50,,,,0.017591339648173207,0.017591339648173207,0.017591339648173207,,,,,,,,,
pilot_holdout,missing_only,0.1,0.0,0.0,50,0.6169230769230769,0.46153846153846156,0.7990384615384615,0.01800841514726508,0.016830294530154277,0.021037868162692847,0.6169230769230769,0.46153846153846156,0.7990384615384615,,,,,,
pilot_holdout,missing_only,0.25,0.0,0.0,50,0.5566153846153847,0.37461538461538463,0.658076923076923,0.020385756676557863,0.01483679525222552,0.029339762611275962,0.5566153846153847,0.37461538461538463,0.658076923076923,,,,,,
pilot_holdout,missing_only,0.5,0.0,0.0,50,0.34523076923076923,0.21884615384615386,0.4213461538461538,0.03438423645320197,0.020073891625615764,0.05053366174055829,0.34523076923076923,0.21884615384615386,0.4213461538461538,,,,,,
pilot_holdout,missing_only,0.75,0.0,0.0,50,0.1442857142857143,0.09808673469387755,0.1836734693877551,0.042725598526703504,0.0317219152854512,0.0529926335174954,0.1442857142857143,0.09808673469387755,0.1836734693877551,,,,,,
